Τμήμα	Έτος	Κωδικός ΚΕΝ	Ασφαλιστικός Φορέας	Πλήθος Νοσηλειών	Συνολικό Βασικό Κόστος ΚΕΝ	Πρόσθετη Χρέωση (Υπέρβαση ΜΔΝ)	Έσοδα Χειρουργείων	Έσοδα Εργαστηριακών	Συνολικά Έσοδα
ΑΙΜΑΤΟΛΟΓΙΑ	2022	Ω37Α	ΕΟΠΥΥ	1	254.00	254.00	0.00	62.67	570.67
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Δ11Α	Ιδιωτική Ασφάλεια	1	404.00	2020.00	0.00	0.00	2424.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Θ23Μ	Ιδιωτική Ασφάλεια	1	1074.00	1074.00	0.00	315.50	2463.50
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Κ35Χ	Ιδιωτική Ασφάλεια	1	521.00	260.50	0.00	0.00	781.50
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Μ01Χ	ΕΦΚΑ	1	9606.00	4116.87	0.00	0.00	13722.87
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Μ79Μ	ΕΟΠΥΥ	1	2942.00	346.12	0.00	136.26	3424.38
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Ν39Χ	ΕΦΚΑ	1	537.00	230.13	0.00	0.00	767.13
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Π26Α	ΕΟΠΥΥ	1	330.00	660.00	0.00	0.00	990.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Π27Α	ΕΦΚΑ	1	265.00	0.00	0.00	208.24	473.24
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Ρ05Μβ	Ιδιωτική Ασφάλεια	1	305.00	135.56	916.85	0.00	1357.41
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Ρ05Χ	ΕΟΠΥΥ	1	214.00	178.35	0.00	0.00	392.35
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Υ07Μ	ΕΟΠΥΥ	1	1218.00	0.00	1716.64	0.00	2934.64
ΓΥΝΑΙΚΟΛΟΓΙΑ	2023	Χ45Α	ΕΟΠΥΥ	1	965.00	241.25	0.00	0.00	1206.25
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	S20Χ	Ανασφάλιστος	1	1759.00	277.74	0.00	0.00	2036.74
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Α12Χ	Ανασφάλιστος	1	1798.00	1284.30	0.00	0.00	3082.30
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Β21Α	ΕΟΠΥΥ	1	459.00	688.50	0.00	0.00	1147.50
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Γ06Μ	ΕΦΚΑ	1	1649.00	1236.75	0.00	0.00	2885.75
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Η23Χ	Ιδιωτική Ασφάλεια	1	786.00	262.00	0.00	336.98	1384.98
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Θ05Μ	ΕΦΚΑ	1	2587.00	1616.90	0.00	503.88	4707.78
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ι23Α	ΕΦΚΑ	1	576.00	460.80	0.00	0.00	1036.80
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Κ01Μ	ΕΟΠΥΥ	1	16215.00	0.00	1771.79	0.00	17986.79
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Μ13Μ	ΕΦΚΑ	1	3893.00	1769.55	0.00	0.00	5662.55
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Μ68Α	Ιδιωτική Ασφάλεια	1	151.00	0.00	0.00	182.12	333.12
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Μ75Χ	ΕΦΚΑ	1	405.00	1012.50	0.00	0.00	1417.50
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ν01Μ	ΕΟΠΥΥ	1	2528.00	1083.42	3372.24	292.20	7275.86
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ν02Χ	ΕΦΚΑ	1	3836.00	0.00	6245.21	0.00	10081.21
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ν29Μ	Ιδιωτική Ασφάλεια	1	123.00	20.50	0.00	0.00	143.50
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ν32Μ	ΕΟΠΥΥ	1	3175.00	226.79	0.00	0.00	3401.79
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ν37Α	Ανασφάλιστος	1	335.00	335.00	0.00	216.86	886.86
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Π10Μ	ΕΦΚΑ	1	1697.00	1697.00	0.00	0.00	3394.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Π44Μ	Ιδιωτική Ασφάλεια	1	1097.00	0.00	0.00	0.00	1097.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ρ05Μα	Ιδιωτική Ασφάλεια	1	811.00	0.00	0.00	170.62	981.62
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Τ20Χ	Ιδιωτική Ασφάλεια	1	512.00	0.00	0.00	0.00	512.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Υ07Χ	ΕΦΚΑ	1	680.00	0.00	992.82	57.43	1730.25
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Υ20Μα	ΕΟΠΥΥ	1	2934.00	733.50	0.00	355.87	4023.37
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Υ22Α	ΕΟΠΥΥ	1	482.00	0.00	0.00	0.00	482.00
ΓΥΝΑΙΚΟΛΟΓΙΑ	2022	Ω37Α	ΕΦΚΑ	1	254.00	1016.00	0.00	0.00	1270.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	S23Μ	Ιδιωτική Ασφάλεια	1	2039.00	728.20	0.00	210.88	2978.08
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Α26Μα	ΕΦΚΑ	1	2467.00	822.32	0.00	367.07	3656.39
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Α34Μα	ΕΦΚΑ	1	1977.00	0.00	0.00	63.16	2040.16
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Δ14Α	Ιδιωτική Ασφάλεια	1	4198.00	1574.25	0.00	0.00	5772.25
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Ε08Χ	Ιδιωτική Ασφάλεια	1	3683.00	368.30	0.00	0.00	4051.30
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Η05Χ	ΕΦΚΑ	1	1393.00	1393.00	4897.28	25.66	7708.94
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Θ03Α	ΕΦΚΑ	1	3297.00	549.50	0.00	0.00	3846.50
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Κ45Μβ	Ιδιωτική Ασφάλεια	1	1019.00	764.25	1136.28	218.96	3138.49
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Λ03Χ	Ιδιωτική Ασφάλεια	1	886.00	0.00	0.00	0.00	886.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Ν02Χ	ΕΦΚΑ	1	3836.00	1096.00	0.00	458.59	5390.59
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Ν30Μβ	ΕΟΠΥΥ	1	186.00	62.01	0.00	0.00	248.01
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Ξ21Μ	Ιδιωτική Ασφάλεια	1	1136.00	0.00	0.00	0.00	1136.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Π05Μα	ΕΟΠΥΥ	1	3329.00	277.42	0.00	0.00	3606.42
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Σ03Μ	Ιδιωτική Ασφάλεια	1	6097.00	0.00	0.00	344.89	6441.89
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Σ21Χ	ΕΦΚΑ	1	1886.00	1886.00	2247.35	375.50	6394.85
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Υ03Μβ	ΕΦΚΑ	1	4426.00	2458.90	0.00	0.00	6884.90
ΔΕΡΜΑΤΟΛΟΓΙΑ	2023	Φ01Α	Ιδιωτική Ασφάλεια	1	12204.00	0.00	0.00	0.00	12204.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Δ25Χ	ΕΦΚΑ	1	350.00	350.00	0.00	0.00	700.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Δ29Μ	ΕΟΠΥΥ	1	2171.00	789.44	0.00	0.00	2960.44
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Η40Μα	ΕΦΚΑ	1	2654.00	442.34	0.00	0.00	3096.34
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Θ20Α	Ιδιωτική Ασφάλεια	1	297.00	0.00	0.00	0.00	297.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Ι22Μ	ΕΦΚΑ	1	910.00	606.68	3817.14	86.22	5420.04
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Κ07Μα	ΕΦΚΑ	1	10554.00	3518.00	1584.02	83.40	15739.42
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Κ07Χ	Ιδιωτική Ασφάλεια	1	5354.00	2294.58	0.00	0.00	7648.58
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Λ01Χ	ΕΟΠΥΥ	1	1541.00	1926.25	0.00	0.00	3467.25
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Μ24Α	Ιδιωτική Ασφάλεια	1	710.00	3550.00	0.00	0.00	4260.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Ν07Χ	ΕΦΚΑ	1	111.00	55.50	0.00	0.00	166.50
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Ν31Χ	ΕΦΚΑ	1	280.00	700.00	0.00	70.02	1050.02
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Π02Μ	ΕΦΚΑ	1	5741.00	675.42	0.00	838.66	7255.08
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Ρ21Μ	ΕΦΚΑ	1	1556.00	0.00	5009.33	0.00	6565.33
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Υ02Μ	Ιδιωτική Ασφάλεια	1	3111.00	0.00	0.00	0.00	3111.00
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Υ09Μ	Ιδιωτική Ασφάλεια	1	4729.00	0.00	1589.52	0.00	6318.52
ΔΕΡΜΑΤΟΛΟΓΙΑ	2022	Υ23Μ	ΕΟΠΥΥ	1	1564.00	0.00	0.00	0.00	1564.00
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Α25Χ	ΕΦΚΑ	1	949.00	0.00	0.00	34.57	983.57
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Α36Α	ΕΟΠΥΥ	1	2412.00	861.45	0.00	0.00	3273.45
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Γ09Α	Ιδιωτική Ασφάλεια	1	418.00	209.00	0.00	0.00	627.00
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Δ20Μ	Ιδιωτική Ασφάλεια	1	2669.00	0.00	0.00	317.40	2986.40
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Δ28Μ	Ιδιωτική Ασφάλεια	1	1969.00	984.50	0.00	114.59	3068.09
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Ε09Α	ΕΟΠΥΥ	1	15346.00	4795.65	0.00	126.51	20268.16
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Κ42Μ	Ιδιωτική Ασφάλεια	1	2054.00	616.20	1093.91	0.00	3764.11
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Κ43ΜΜ	ΕΦΚΑ	1	1113.00	371.00	2113.90	374.78	3972.68
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Λ05Α	Ανασφάλιστος	1	334.00	0.00	0.00	0.00	334.00
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Μ79Μ	ΕΦΚΑ	1	2942.00	0.00	0.00	0.00	2942.00
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Π01Χ	Ανασφάλιστος	1	3857.00	2142.80	4091.71	0.00	10091.51
ΚΑΡΔΙΟΛΟΓΙΑ	2023	Ρ24Μα	ΕΦΚΑ	1	3773.00	1347.50	0.00	0.00	5120.50
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Α24Μ	Ιδιωτική Ασφάλεια	1	1821.00	682.89	0.00	400.68	2904.57
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Β20Χ	ΕΟΠΥΥ	1	413.00	619.50	0.00	164.24	1196.74
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Γ20Χ	ΕΦΚΑ	1	755.00	755.01	1170.37	0.00	2680.38
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Δ07Α	ΕΦΚΑ	1	605.00	0.00	0.00	455.64	1060.64
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Ε06Χα	ΕΟΠΥΥ	1	20597.00	2471.64	0.00	0.00	23068.64
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Ζ21Α	ΕΦΚΑ	1	848.00	424.00	0.00	483.61	1755.61
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Θ01Χ	ΕΟΠΥΥ	1	2801.00	1167.10	0.00	87.93	4056.03
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Κ05Χ	Ανασφάλιστος	1	727.00	0.00	0.00	0.00	727.00
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Κ13Μ	ΕΦΚΑ	1	3969.00	233.47	0.00	0.00	4202.47
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Κ39Χ	ΕΦΚΑ	1	327.00	327.00	0.00	0.00	654.00
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Λ05Α	ΕΦΚΑ	1	334.00	334.00	867.43	0.00	1535.43
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Ο03Α	ΕΦΚΑ	1	837.00	3348.00	0.00	0.00	4185.00
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Π07Μ	ΕΦΚΑ	1	155.00	155.00	0.00	54.06	364.06
ΚΑΡΔΙΟΛΟΓΙΑ	2022	Π46Α	ΕΦΚΑ	1	327.00	817.50	0.00	0.00	1144.50
ΜΕΘ	2023	Ε07Α	ΕΦΚΑ	1	26508.00	2338.95	2519.68	204.50	31571.13
ΜΕΘ	2023	Η02Χ	ΕΦΚΑ	1	2079.00	1732.50	2407.72	0.00	6219.22
ΜΕΘ	2023	Κ02Α	Ανασφάλιστος	1	2844.00	1422.00	3006.11	0.00	7272.11
ΜΕΘ	2023	Κ43Μ	ΕΦΚΑ	1	1471.00	367.76	0.00	0.00	1838.76
ΜΕΘ	2023	Μ69Μ	ΕΟΠΥΥ	1	1533.00	0.00	0.00	129.37	1662.37
ΜΕΘ	2023	Μ69Μ	Ιδιωτική Ασφάλεια	1	1533.00	170.33	0.00	0.00	1703.33
ΜΕΘ	2023	Ν11Α	ΕΦΚΑ	1	1331.00	1331.00	3787.76	0.00	6449.76
ΜΕΘ	2023	Φ22Μ	ΕΦΚΑ	1	2357.00	471.40	0.00	0.00	2828.40
ΜΕΘ	2022	Α01Μ	Ιδιωτική Ασφάλεια	1	4701.00	0.00	0.00	0.00	4701.00
ΜΕΘ	2022	Α33Μβ	Ανασφάλιστος	1	1043.00	625.80	0.00	0.00	1668.80
ΜΕΘ	2022	Α35Μα	ΕΦΚΑ	1	1556.00	972.50	0.00	0.00	2528.50
ΜΕΘ	2022	Δ06Α	ΕΦΚΑ	1	1383.00	461.00	0.00	166.83	2010.83
ΜΕΘ	2022	Δ28Μ	Ιδιωτική Ασφάλεια	1	1969.00	984.50	0.00	283.87	3237.37
ΜΕΘ	2022	Η41Χ	ΕΦΚΑ	1	872.00	1090.00	975.03	0.00	2937.03
ΜΕΘ	2022	Ι22Μ	ΕΟΠΥΥ	1	910.00	455.01	0.00	0.00	1365.01
ΜΕΘ	2022	Κ16Μ	Ιδιωτική Ασφάλεια	1	1531.00	1020.66	1694.77	0.00	4246.43
ΜΕΘ	2022	Μ10Μ	Ανασφάλιστος	1	3391.00	0.00	3190.82	0.00	6581.82
ΜΕΘ	2022	Ν20Μ	ΕΦΚΑ	1	6919.00	0.00	0.00	366.41	7285.41
ΜΕΘ	2022	Π05Μα	Ανασφάλιστος	1	3329.00	1387.10	0.00	0.00	4716.10
ΜΕΘ	2022	Τ02Α	Ανασφάλιστος	1	20279.00	2645.10	0.00	0.00	22924.10
ΜΕΘ	2022	Τ26Χ	Ιδιωτική Ασφάλεια	1	716.00	716.00	1690.11	0.00	3122.11
ΜΕΘ	2022	Υ03Χ	ΕΦΚΑ	1	2992.00	0.00	0.00	245.83	3237.83
ΜΕΘ	2022	Υ22Χ	Ιδιωτική Ασφάλεια	1	545.00	1090.00	2500.84	0.00	4135.84
ΝΕΥΡΟΛΟΓΙΑ	2023	Γ11Α	ΕΦΚΑ	1	729.00	243.00	2115.72	0.00	3087.72
ΝΕΥΡΟΛΟΓΙΑ	2023	Ε04Α	ΕΦΚΑ	1	30015.00	7503.75	0.00	0.00	37518.75
ΝΕΥΡΟΛΟΓΙΑ	2023	Η08Χ	ΕΦΚΑ	1	1273.00	0.00	0.00	0.00	1273.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Κ08Μ	Ιδιωτική Ασφάλεια	1	8956.00	1119.50	0.00	86.93	10162.43
ΝΕΥΡΟΛΟΓΙΑ	2023	Κ21Χ	ΕΦΚΑ	1	1494.00	0.00	0.00	0.00	1494.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Κ42Χ	ΕΦΚΑ	1	934.00	373.60	0.00	94.98	1402.58
ΝΕΥΡΟΛΟΓΙΑ	2023	Μ05Μ	ΕΟΠΥΥ	1	7705.00	0.00	0.00	0.00	7705.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Μ29Α	ΕΟΠΥΥ	1	1903.00	0.00	0.00	0.00	1903.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Μ69Χ	ΕΦΚΑ	1	428.00	214.00	0.00	0.00	642.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Π44Χ	Ιδιωτική Ασφάλεια	1	1073.00	1609.50	1951.57	268.89	4902.96
ΝΕΥΡΟΛΟΓΙΑ	2023	Π46Α	ΕΦΚΑ	1	327.00	163.50	0.00	113.95	604.45
ΝΕΥΡΟΛΟΓΙΑ	2023	Ρ01Α	ΕΟΠΥΥ	1	443.00	1329.00	0.00	253.40	2025.40
ΝΕΥΡΟΛΟΓΙΑ	2023	Ρ21Χ	ΕΦΚΑ	1	778.00	583.50	0.00	57.69	1419.19
ΝΕΥΡΟΛΟΓΙΑ	2023	Τ21Α	ΕΟΠΥΥ	1	41579.00	569.58	0.00	348.73	42497.31
ΝΕΥΡΟΛΟΓΙΑ	2023	Τ25Μγ	ΕΦΚΑ	1	3158.00	0.00	0.00	489.73	3647.73
ΝΕΥΡΟΛΟΓΙΑ	2023	Φ61Α	ΕΦΚΑ	1	280.00	1120.00	0.00	0.00	1400.00
ΝΕΥΡΟΛΟΓΙΑ	2023	Χ40Α	Ιδιωτική Ασφάλεια	1	140.00	560.00	0.00	0.00	700.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Γ01Α	Ιδιωτική Ασφάλεια	1	2964.00	1111.50	0.00	0.00	4075.50
ΝΕΥΡΟΛΟΓΙΑ	2022	Γ12Χ	ΕΦΚΑ	1	1963.00	0.00	0.00	0.00	1963.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Δ13Χ	ΕΟΠΥΥ	1	915.00	0.00	3151.35	0.00	4066.35
ΝΕΥΡΟΛΟΓΙΑ	2022	Θ05Χ	Ανασφάλιστος	1	1218.00	3045.00	4004.47	0.00	8267.47
ΝΕΥΡΟΛΟΓΙΑ	2022	Κ04Μ	Ιδιωτική Ασφάλεια	1	13155.00	2818.92	0.00	0.00	15973.92
ΝΕΥΡΟΛΟΓΙΑ	2022	Κ30Χ	Ιδιωτική Ασφάλεια	1	447.00	0.00	0.00	0.00	447.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Κ32Α	Ιδιωτική Ασφάλεια	1	1043.00	0.00	1823.11	0.00	2866.11
ΝΕΥΡΟΛΟΓΙΑ	2022	Λ05Α	ΕΦΚΑ	1	334.00	0.00	0.00	191.74	525.74
ΝΕΥΡΟΛΟΓΙΑ	2022	Μ03Μ	ΕΟΠΥΥ	1	6307.00	2102.35	0.00	83.86	8493.21
ΝΕΥΡΟΛΟΓΙΑ	2022	Ν06Χ	ΕΦΚΑ	1	969.00	1938.00	2955.73	0.00	5862.73
ΝΕΥΡΟΛΟΓΙΑ	2022	Ν24Μ	Ιδιωτική Ασφάλεια	1	2389.00	183.77	1421.88	0.00	3994.65
ΝΕΥΡΟΛΟΓΙΑ	2022	Ν33Α	ΕΦΚΑ	1	739.00	246.33	989.79	128.84	2103.96
ΝΕΥΡΟΛΟΓΙΑ	2022	Ο13Α	Ανασφάλιστος	1	336.00	1008.00	0.00	0.00	1344.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Π03Χβ	ΕΦΚΑ	1	1813.00	453.25	1820.41	0.00	4086.66
ΝΕΥΡΟΛΟΓΙΑ	2022	Π40Χ	ΕΦΚΑ	1	677.00	0.00	1094.57	61.27	1832.84
ΝΕΥΡΟΛΟΓΙΑ	2022	Ρ24Χ	ΕΟΠΥΥ	1	623.00	0.00	0.00	0.00	623.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Σ04Μ	Ιδιωτική Ασφάλεια	1	1694.00	242.00	0.00	0.00	1936.00
ΝΕΥΡΟΛΟΓΙΑ	2022	Υ02Χ	Ανασφάλιστος	1	1189.00	2378.00	0.00	354.70	3921.70
ΝΕΥΡΟΛΟΓΙΑ	2022	Υ02Χ	Ιδιωτική Ασφάλεια	1	1189.00	594.50	0.00	0.00	1783.50
ΝΕΥΡΟΛΟΓΙΑ	2022	Φ40Α	ΕΦΚΑ	1	3649.00	0.00	3404.08	0.00	7053.08
ΟΡΘΟΠΕΔΙΚΗ	2023	Γ01Α	ΕΟΠΥΥ	1	2964.00	0.00	1018.06	434.60	4416.66
ΟΡΘΟΠΕΔΙΚΗ	2023	Δ11Α	Ιδιωτική Ασφάλεια	1	404.00	1616.00	0.00	0.00	2020.00
ΟΡΘΟΠΕΔΙΚΗ	2023	Ε11Μ	Ιδιωτική Ασφάλεια	1	10704.00	0.00	0.00	353.64	11057.64
ΟΡΘΟΠΕΔΙΚΗ	2023	Η42Χ	ΕΟΠΥΥ	1	708.00	944.00	1132.40	0.00	2784.40
ΟΡΘΟΠΕΔΙΚΗ	2023	Κ43Μ	ΕΦΚΑ	1	1471.00	367.76	1384.57	197.25	3420.58
ΟΡΘΟΠΕΔΙΚΗ	2023	Μ05Χ	ΕΟΠΥΥ	1	6101.00	2440.40	0.00	50.66	8592.06
