Τμήμα,Βάρδια,Εβδομάδα,"Κλάδος Προσωπικού",Υποκλάδος,"Απαιτούμενο Προσωπικό"
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-12","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΓΡΑΜΜΑΤΕΑΣ ΤΜΗΜΑΤΟΣ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-12",ΙΑΤΡΟΣ,ΔΕΡΜΑΤΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-15 έως 2026-05-15",ΙΑΤΡΟΣ,ΧΕΙΡΟΥΡΓΙΚΗ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΓΥΝΑΙΚΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-13 έως 2026-05-13",ΙΑΤΡΟΣ,ΟΡΘΟΠΕΔΙΚΗ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-11","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΡΧΕΙΟΥ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΑΙΜΑΤΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-15 έως 2026-05-15",ΝΟΣΗΛΕΥΤΗΣ,ΠΡΟΪΣΤΑΜΕΝΟΣ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΟΦΘΑΛΜΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΝΟΣΗΛΕΥΤΗΣ,22
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,"ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ",19
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΠΡΟΜΗΘΕΙΩΝ",4
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-15","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΕΙΣΑΓΩΓΩΝ",3
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-17",ΙΑΤΡΟΣ,ΟΥΡΟΛΟΓΙΑ,3
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ",ΛΟΓΙΣΤΗΣ,3
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-16",ΙΑΤΡΟΣ,ΠΝΕΥΜΟΝΟΛΟΓΙΑ,3
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-13",ΙΑΤΡΟΣ,ΟΡΘΟΠΕΔΙΚΗ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-17",ΙΑΤΡΟΣ,ΔΕΡΜΑΤΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-16",ΙΑΤΡΟΣ,ΓΥΝΑΙΚΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-12",ΙΑΤΡΟΣ,ΠΑΙΔΙΑΤΡΙΚΗ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΨΥΧΙΑΤΡΙΚΗ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΕΝΤΑΤΙΚΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-14","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΔΙΟΙΚΗΤΙΚΟΣ ΣΥΝΤΟΝΙΣΤΗΣ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-12","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΓΡΑΜΜΑΤΕΑΣ ΤΜΗΜΑΤΟΣ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-15 έως 2026-05-15",ΙΑΤΡΟΣ,ΠΑΘΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-13",ΙΑΤΡΟΣ,ΑΙΜΑΤΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-13","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΡΧΕΙΟΥ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-16 έως 2026-05-16",ΙΑΤΡΟΣ,ΧΕΙΡΟΥΡΓΙΚΗ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-12",ΙΑΤΡΟΣ,ΝΕΥΡΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-15 έως 2026-05-15","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΣΦΑΛΙΣΕΩΝ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-13",ΝΟΣΗΛΕΥΤΗΣ,ΠΡΟΪΣΤΑΜΕΝΟΣ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΝΟΣΗΛΕΥΤΗΣ,22
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,"ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ",18
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-14",ΙΑΤΡΟΣ,ΟΡΘΟΠΕΔΙΚΗ,4
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-16",ΙΑΤΡΟΣ,ΠΑΙΔΙΑΤΡΙΚΗ,3
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-14 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ",ΛΟΓΙΣΤΗΣ,3
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-15 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΓΡΑΜΜΑΤΕΑΣ ΤΜΗΜΑΤΟΣ",3
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-11","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΕΙΣΑΓΩΓΩΝ",2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-13 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΣΦΑΛΙΣΕΩΝ",2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-14 έως 2026-05-15",ΙΑΤΡΟΣ,ΠΝΕΥΜΟΝΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-13","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΡΧΕΙΟΥ",2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-15",ΙΑΤΡΟΣ,ΑΙΜΑΤΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-13",ΙΑΤΡΟΣ,ΔΕΡΜΑΤΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-13 έως 2026-05-17",ΙΑΤΡΟΣ,ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΠΡΟΪΣΤΑΜΕΝΟΣ,2
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-16 έως 2026-05-16",ΙΑΤΡΟΣ,ΝΕΥΡΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-16 έως 2026-05-16",ΙΑΤΡΟΣ,ΟΦΘΑΛΜΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΚΑΡΔΙΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-15 έως 2026-05-15",ΙΑΤΡΟΣ,ΓΥΝΑΙΚΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-12","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΠΡΟΜΗΘΕΙΩΝ",1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΨΥΧΙΑΤΡΙΚΗ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΟΥΡΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΠΑΘΟΛΟΓΙΑ,1
ΑΙΜΑΤΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-14 έως 2026-05-14","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΔΙΟΙΚΗΤΙΚΟΣ ΣΥΝΤΟΝΙΣΤΗΣ",1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΝΟΣΗΛΕΥΤΗΣ,23
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,"ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ",19
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-13 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΡΧΕΙΟΥ",4
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-13 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ",ΛΟΓΙΣΤΗΣ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-13",ΙΑΤΡΟΣ,ΧΕΙΡΟΥΡΓΙΚΗ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-15","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΠΡΟΜΗΘΕΙΩΝ",2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-13 έως 2026-05-14",ΙΑΤΡΟΣ,ΔΕΡΜΑΤΟΛΟΓΙΑ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-14","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΕΙΣΑΓΩΓΩΝ",2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-15 έως 2026-05-16",ΙΑΤΡΟΣ,ΠΑΘΟΛΟΓΙΑ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-16 έως 2026-05-17",ΙΑΤΡΟΣ,ΠΑΙΔΙΑΤΡΙΚΗ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-17",ΙΑΤΡΟΣ,ΨΥΧΙΑΤΡΙΚΗ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-15",ΙΑΤΡΟΣ,ΠΝΕΥΜΟΝΟΛΟΓΙΑ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-11","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΣΦΑΛΙΣΕΩΝ",2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-16 έως 2026-05-16",ΙΑΤΡΟΣ,ΟΦΘΑΛΜΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-16 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΔΙΑΧΕΙΡΙΣΤΗΣ ΡΑΝΤΕΒΟΥ",1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΝΕΥΡΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΕΝΔΟΚΡΙΝΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-12 έως 2026-05-12",ΙΑΤΡΟΣ,ΟΥΡΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-15 έως 2026-05-15",ΙΑΤΡΟΣ,ΓΥΝΑΙΚΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΚΑΡΔΙΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΟΡΘΟΠΕΔΙΚΗ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΑΠΟΓΕΥΜΑΤΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΑΙΜΑΤΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΝΟΣΗΛΕΥΤΗΣ,28
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-16",ΝΟΣΗΛΕΥΤΗΣ,"ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ",11
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17",ΙΑΤΡΟΣ,ΝΕΥΡΟΛΟΓΙΑ,5
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-14","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΣΦΑΛΙΣΕΩΝ",4
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-15",ΙΑΤΡΟΣ,ΚΑΡΔΙΟΛΟΓΙΑ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΠΡΟΪΣΤΑΜΕΝΟΣ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΕΙΣΑΓΩΓΩΝ",3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ",ΛΟΓΙΣΤΗΣ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΠΡΟΜΗΘΕΙΩΝ",3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-17",ΙΑΤΡΟΣ,ΟΡΘΟΠΕΔΙΚΗ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-16",ΙΑΤΡΟΣ,ΠΝΕΥΜΟΝΟΛΟΓΙΑ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-14",ΙΑΤΡΟΣ,ΑΙΜΑΤΟΛΟΓΙΑ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-12 έως 2026-05-16",ΙΑΤΡΟΣ,ΠΑΙΔΙΑΤΡΙΚΗ,2
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-15 έως 2026-05-15",ΙΑΤΡΟΣ,ΧΕΙΡΟΥΡΓΙΚΗ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-14 έως 2026-05-14",ΙΑΤΡΟΣ,ΓΥΝΑΙΚΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-13 έως 2026-05-13",ΙΑΤΡΟΣ,ΔΕΡΜΑΤΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-16 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΔΙΑΧΕΙΡΙΣΤΗΣ ΡΑΝΤΕΒΟΥ",1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-17 έως 2026-05-17",ΙΑΤΡΟΣ,ΕΝΤΑΤΙΚΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΝΥΧΤΕΡΙΝΗ,"2026-05-11 έως 2026-05-11",ΙΑΤΡΟΣ,ΟΥΡΟΛΟΓΙΑ,1
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,"ΒΟΗΘΟΣ ΝΟΣΗΛΕΥΤΗ",20
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17",ΝΟΣΗΛΕΥΤΗΣ,ΝΟΣΗΛΕΥΤΗΣ,19
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ",ΛΟΓΙΣΤΗΣ,4
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-11 έως 2026-05-17",ΙΑΤΡΟΣ,ΠΑΙΔΙΑΤΡΙΚΗ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-16",ΙΑΤΡΟΣ,ΚΑΡΔΙΟΛΟΓΙΑ,3
ΓΥΝΑΙΚΟΛΟΓΙΑ,ΠΡΩΙΝΗ,"2026-05-12 έως 2026-05-16","ΔΙΟΙΚΗΤΙΚΟ ΠΡΟΣΩΠΙΚΟ","ΥΠΕΥΘΥΝΟΣ ΑΣΦΑΛΙΣΕΩΝ",3
